"no","product","pack","weight_mc","gross_weight","total_ctn","net_weight_kg","gross_weight_kg","total_rw_price","finished_goods","pack_cost","unit_price","total_amount","remark"
"1","ROHU/HEAD DISSECT ","BULK 20 KG./CTN","20","20.5","10","200","220.5","0","0","0","0","0",""
"2","ROHU/H-L/STEAK ","1 KG. X 10 BAG/CTN WITH RIDER","10","10.5","30","300","310.5","0","0","0","0","0","GL.20%"
"3","TILAPIA/SO - 1.5  KG.UP","IWP 20 KG./CTN WITH STICKER","20","20.5","10","200","220.5","0","0","0","0","0","GL.5%"
"4","ROHU/H-L/RFC-NO SCALE - 600-800  G.","IWP 20 KG./CTN WITH STICKER","20","20.5","200","4000","4020.5","0","0","0","0","0","GL.20%"
"5","DRY KESKI ","100 G. X 50 BAG/CTN WITH PRINT BAG","5","5.5","30","150","155.5","0","0","0","0","0","103&21-04-2025"
"6","BOAL/G - 2  KG.UP","IWP 20 KG./CTN WITH STICKER","20","20.5","50","1000","1020.5","0","0","0","0","0","CK30/029/AS-2425"
"7","GULSHA/CLN/BLK ","350 G. X 15 BLK/CTN WITH PRINT BAG","5.25","10.5","33","173.25","183.75","0","0","0","0","0","CK27/006/AS-2425(-15%)"
"8","PABDA/WR/BLK ","350 G. X 15 BLK/CTN WITH PRINT BAG","5.25","10.5","33","173.25","183.75","0","0","0","0","0","SMEPL/008/25-26"
"9","PABDA/WR/IQF - 10 " UP.","1 KG. X 10 BAG/CTN WITH RIDER","10","10.5","100","1000","1010.5","0","0","0","0","0","GL.20%-SO60/24-25"
"10","LONG BAIM/CLN/SKIN OFF ","1 KG. X 10 BAG/CTN WITH RIDER","10","10.5","50","500","510.5","0","0","0","0","0","GL.10%-CK27/006/AS-2425"
"11","DRY TANGRA ","100 G. X 25 BAG/CTN WITH STICKER","2.5","3","10","25","28","0","0","0","0","0","103&21-04-2025"
"12","HORINA/H-L/IQF ","BULK 10 KG./CTN WITH STICKER","10","10.5","50","500","510.5","0","0","0","0","0","GL.30%"
"13","TILAPIA/SO - 1  KG.UP","IWP 20 KG./CTN WITH STICKER","20","20.5","10","200","220.5","0","0","0","0","0","GL.5%"
"14","NAIKOLI/RFC ","IWP 20 KG./CTN WITH STICKER","20","20.5","1","20","40.5","0","0","0","0","0","GL.20%"
"15","TILAPIA/SO - 800  G.UP","IWP 20 KG./CTN WITH STICKER","20","20.5","49","980","1000.5","0","0","0","0","0","GL.5%"
"16","LONG BAIM/WR - 16 " UP.","IWP 20 KG./CTN WITH STICKER","20","20.5","50","1000","1020.5","0","0","0","0","0","CK27/006/AS2425"
"17","KOI/CLN - 8-10  PCS./BAG.","1 KG. X 10 BAG/CTN WITH RIDER","10","10.5","100","1000","1010.5","0","0","0","0","0","031DTL-TH-25/015"
"18","SHRIMP/H-L/IQF ","IWP 20 KG./CTN WITH STICKER","20","20.5","35","700","720.5","0","0","0","0","0","GL.30%"
