"no","product","pack","weight_mc","gross_weight","total_ctn","net_weight_kg","gross_weight_kg","total_rw_price","finished_goods","pack_cost","unit_price","total_amount","remark"
"1","E-MOILA/CLN/BLK ","240 G. X 25 BLK/CTN WITH PRINT BAG","6","12","84","504","516","45","1.41","0.31","0","0",""
"2","PUTI/CLN - 100-200  G./PCS.","700 G. X 10 BAG/CTN WITH RIDER","7","7.5","50","350","357.5","44","1.15","0.18","0","0","GL.20%"
"3","TILAPIA/WR - 1  KG.UP","IWP 20 KG./CTN WITH STICKER","20","20.5","25","500","520.5","0","0","0","0","0","GL.5%"
"4","E-MOILA/CLN/TRAY ","240 G. X 25 TRAY/CTN WITH STICKER","6","6.5","50","300","306.5","45","1.18","0.32","0","0","GL.20%"
"5","MRIGAL/G - 1  KG.UP","IWP 20 KG./CTN WITH STICKER","20","20.5","25","500","520.5","30","1.08","0.08","0","0","GL.5%(-17%)"
"6","ROHU EGG/TRAY/VAC ","240 G. X 25 TRAY/CTN WITH STICKER","6","6.5","50","300","306.5","0","0","0","0","0",""
"7","PABDA/WR/IQF - 10 " UP.","1 KG. X 10 BAG/CTN WITH RIDER","10","10.5","50","500","510.5","0","0","0","0","0","SO60/24-25"
"8","PUTI/CLN/TRAY ","500 G. X 14 TRAY/CTN WITH STICKER","7","7.5","25","175","182.5","0","0","0","0","0","GL.20%"
"9","ROHU/G - 1  KG.UP","IWP 20 KG./CTN WITH STICKER","20","20.5","150","3000","3020.5","30","1.08","0.08","0","0","GL.5%(-17%)"
"10","CARFU/WR - 2  KG.UP","IWP 20 KG./CTN WITH STICKER","20","20.5","50","1000","1020.5","0","0","0","0","0","GL.5%"
"11","TILAPIA/WR - 1.5  KG.UP","IWP 20 KG./CTN WITH STICKER","20","20.5","25","500","520.5","0","0","0","0","0","GL.5%"
"12","PUTI/CLN - 200-300  G./PCS.","700 G. X 10 BAG/CTN WITH RIDER","7","7.5","50","350","357.5","0","0","0","0","0","GL.20%"
"13","ROHU EGG/BLK ","240 G. X 25 BLK/CTN WITH PRINT BAG","6","12","50","300","312","0","0","0","0","0",""
"14","HORINA/H-L/TRAY - 30  PCS./TRAY.","160 G. X 25 TRAY/CTN WITH STICKER","4","4.5","50","200","204.5","0","0","0","0","0","GL.20%"
"15","HORINA/H-O/TRAY - 40  PCS./TRAY.","240 G. X 25 TRAY/CTN WITH STICKER","6","6.5","25","150","156.5","0","0","0","0","0","GL.20%"
"16","KESKI/BLK ","200 G. X 30 BLK/CTN WITH PRINT BAG","6","12","125","750","762","47","1.47","0.33","0","0",""
"17","KESKI/TRAY/VAC. ","200 G. X 30 TRAY/CTN WITH STICKER","6","6.5","125","750","756.5","47","1.23","0.42","0","0","GL.20%"
"18","BACHA/WR/TRAY/VAC. ","500 G. X 14 TRAY/CTN WITH STICKER","7","7.5","72","504","511.5","115","3","0.24","0","0","GL.20%"
"19","CARFU/WR - 1  KG.UP","IWP 20 KG./CTN WITH STICKER","20","20.5","50","1000","1020.5","0","0","0","0","0","GL.5%"
"20","ROHU/G - 1.5  KG.UP","IWP 20 KG./CTN WITH STICKER","20","20.5","120","2400","2420.5","30","1.08","0.07","0","0","GL.5%(-17%)"
"21","ROHU/G - 800  G.UP","IWP 20 KG./CTN WITH STICKER","20","20.5","100","2000","2020.5","23","0.74","0.09","0","0","GL.5%(-17%)"
"22","MAGUR/WR - 1  KG.UP","IWP 10 KG./CTN WITH STICKER","10","10.5","25","250","260.5","43","1.28","0.14","0","0","GL.5%"
"23","MAGUR/WR - 800  G.UP","IWP 10 KG./CTN WITH STICKER","10","10.5","25","250","260.5","43","1.28","0.15","0","0","GL.5%"
"24","PANGASH/G - 2  KG.UP","IWP 20 KG./CTN WITH STICKER","20","20.5","200","4000","4020.5","28","1.01","0.07","0","0","GL.5%(-17%)"
"25","PANGASH/G - 3  KG.UP","IWP 20 KG./CTN WITH STICKER","20","20.5","100","2000","2020.5","28","1.01","0.06","0","0","GL.5%(-17%)"
"26","PANGASH EGG/TRAY/VAC (BOAL/EGG/) ","240 G. X 25 TRAY/CTN WITH STICKER","6","6.5","50","300","306.5","0","0","0","0","0",""
"27","DRY KESKI ","100 G. X 70 BAG/CTN WITH STICKER","7","7.5","100","700","707.5","0","0","0","0","0","103&21-04-2025"
"28","TANGRA/CLN/IQF ","400 G. X 25 BAG/CTN WITH RIDER","10","10.5","100","1000","1010.5","0","0","0","0","0","031DTL-TH-25-015"
"29","PABDA/WR/IQF - 7 " UP.","700 G. X 10 BAG/CTN WITH RIDER","7","7.5","50","350","357.5","0","0","0","0","0","SMEPL/008/25-26"
"30","DIMA ESSA/TRAY (SHRIMP) - 30-40  PCS./KG.","270 G. X 25 TRAY/CTN WITH STICKER","6.75","7.25","50","337.5","344.75","0","0","0","0","0","GL.25%"
"31","DIMA ESSA/TRAY (SHRIMP) - 40-50  PCS./KG.","270 G. X 25 TRAY/CTN WITH STICKER","6.75","7.25","50","337.5","344.75","0","0","0","0","0","GL.25%"
"32","DIMA ESSA/TRAY (SHRIMP) - 50-60  PCS./KG.","270 G. X 25 TRAY/CTN WITH STICKER","6.75","7.25","50","337.5","344.75","0","0","0","0","0","GL.25%"
