no,product,pack,weight_mc,gross_weight,total_ctn,net_weight_kg,gross_weight_kg,total_rw_price,finished_goods,pack_cost,unit_price,total_amount,remark
1,ROHU/G - 2  KG.UP,IWP 20 KG./CTN WITH STICKER,20,20.5,50,1000,1020.5,0,0,0,0,0,GL.56%(-17%)
2,"PABDA/WR/IQF - 7  UP.""",800 G. X 10 BAG/CTN WITH RIDER,8,8.5,100,800,808.5,0,0,0,0,0,GL.20%-S025/25-26
3,PANGASH/H-L/STEAK ,1 KG. X 10 BAG/CTN WITH RIDER,10,10.5,300,3000,3010.5,0,0,0,0,0,GL.40 %(-38%)
4,ROHU/H-O/STEAK-NO SCALE - 600-800  G./PCS.,800 G. X 10 BAG/CTN WITH RIDER,8,8.5,300,2400,2408.5,0,0,0,0,0,GL.20%
5,TILAPIA/WR - 1.5  KG.UP,IWP 20 KG./CTN WITH STICKER,20,20.5,25,500,520.5,0,0,0,0,0,GL.5%
6,PANGASH/G - 1  KG.UP,IWP 10 KG./CTN WITH STICKER,15,20.5,11,3000,3020.5,0,0,0,0,0,GL.55%(-17%)
7,PANGASH/G - 2  KG.UP,IWP 20 KG./CTN WITH STICKER,20,20.5,100,2000,2020.5,0,0,0,0,0,GL.5%(-17%)
8,ROHU/G - 1  KG.UP,IWP 20 KG./CTN WITH STICKER,20,20.5,100,2000,2020.5,0,0,0,0,0,GL.5%(-17%)
9,ROHU/G - 1.5  KG.UP,IWP 20 KG./CTN WITH STICKER,20,20.5,100,2000,2020.5,0,0,0,0,0,GL.5%(-17%)
10,DRY KESKI ,100 G. X 50 BAG/CTN WITH STICKER,5,5.5,100,500,505.5,0,0,0,0,0,104&02-07-2025
11,TILAPIA/CLN - 100-200 (6-7 PCS)  G./PCS.,800 G. X 10 BAG/CTN WITH RIDER,8,8.5,50,400,408.5,0,0,0,0,0,GL.20%
12,CARFU/WR - 2  KG.UP,IWP 20 KG./CTN WITH STICKER,20,20.5,50,1000,1020.5,0,0,0,0,0,GL.5%
13,SILVER CARP/WR - 2  KG.UP,IWP 20 KG./CTN WITH STICKER,20,20.5,50,1000,1020.5,0,0,0,0,0,GL.5%
14,SILVER CARP/WR - 3  KG.UP,IWP 20 KG./CTN WITH STICKER,20,20.5,50,1000,1020.5,0,0,0,0,0,GL.5%
15,TILAPIA/WR - 1  KG.UP,IWP 20 KG./CTN WITH STICKER,20,20.5,25,500,520.5,0,0,0,0,0,GL.5%
16,TILAPIA/WR - 800  G.UP,IWP 20 KG./CTN WITH STICKER,20,20.5,20,400,420.5,0,0,0,0,0,GL.5%
17,TILAPIA/CLN - 200-300 (4 PCS)  G./PCS.,1 KG. X 10 BAG/CTN WITH RIDER,10,10.5,50,500,510.5,0,0,0,0,0,GL.20%
18,CARFU/WR - 1  KG.UP,IWP 20 KG./CTN WITH STICKER,20,20.5,50,1000,1020.5,0,0,0,0,0,GL.5%
19,MAGUR/CLN - 6-7  PCS./BAG.,800 G. X 10 BAG/CTN WITH RIDER,8,8.5,150,1200,1208.5,0,0,0,0,0,GL.20%-Cut fin and stomach cln
20,LONG BAIM/CLN/SKIN OFF/TRAY/VAC ,400 G. X 25 TRAY/CTN WITH STICKER,10,10.5,50,500,510.5,0,0,0,0,0,GL.20%-CK26/032/AS-2324
21,MAGUR/WR - 1  KG.UP,IWP 10 KG./CTN WITH STICKER,10,10.5,10,1500,1510.5,0,0,0,0,0,GL.5%
