no,product,pack,weight_mc,gross_weight,total_ctn,net_weight_kg,gross_weight_kg,total_rw_price,finished_goods,pack_cost,unit_price,total_amount,remark
1,TILAPIA/WR - 2  KG.UP,IWP 18 KG./CTN WITH STICKER,18,18.5,100,1800,1818.5,0,0,0,0,0,GL.5%
2,TILAPIA/WR - 1.5  KG.UP,IWP 18 KG./CTN WITH STICKER,18,18.5,200,3600,3618.5,0,0,0,0,0,GL.5%
3,TILAPIA/WR - 1  KG.UP,IWP 18 KG./CTN WITH STICKER,18,18.5,200,3600,3618.5,0,0,0,0,0,GL.5%
4,ROHU/H-O/STEAK-NO SCALE - 600-800  G./PCS.,700 G. X 10 BAG/CTN WITH RIDER,7,7.5,1000,7000,7007.5,0,0,0,0,0,GL.20%
5,"PABDA/WR/IQF - 7  UP.""",500 G. X 10 BAG/CTN WITH RIDER,5,5.5,300,1500,1505.5,0,0,0,0,0,GL.20%-S025/25-26
6,TILAPIA/CLN - 100-200  G./PCS.,800 G. X 10 BAG/CTN WITH RIDER,8,8.5,50,400,408.5,0,0,0,0,0,(5-6 PCS.)GL.20%
7,PANGASH/G - 1.5  KG.UP,IWP 20 KG./CTN WITH STICKER,20,20.5,50,1000,1020.5,0,0,0,0,0,GL.5%
8,TILAPIA/CLN - 200-300  G./PCS.,800 G. X 10 BAG/CTN WITH RIDER,8,8.5,50,400,408.5,0,0,0,0,0,(4 PCS.)GL.20%
9,PUTI/CLN - 100-200  G./PCS.,800 G. X 10 BAG/CTN WITH RIDER,8,8.5,50,400,408.5,0,0,0,0,0,GL.20%
10,PUTI/CLN - 200-300  G./PCS.,800 G. X 10 BAG/CTN WITH RIDER,8,8.5,50,400,408.5,0,0,0,0,0,GL.20%
11,PANGASH/G - 2  KG.UP,IWP 20 KG./CTN WITH STICKER,20,20.5,100,2000,2020.5,0,0,0,0,0,GL.5%
12,HORINA/H-L/IQF ,250 G. X 20 BAG/CTN WITH RIDER,5,5.5,100,500,505.5,0,0,0,0,0,GL.30%
13,SHRIMP/IQF - 50-60  PCS./KG.,300 G. X 25 BLK/CTN WITH STICKER,7.5,8,100,750,758,0,0,0,0,0,GL.25%
14,TANGRA/CLN/IQF ,500 G. X 10 BAG/CTN WITH RIDER,5,5.5,222,600,605.5,0,0,0,0,0,GL.20%(BIG SIZE)S025/25-26
